Montbello,19
Five Points,16
East Colfax,14
Northeast Park Hill,14
Westwood,12
Cole,10
Gateway / Green Valley Ranch,9
Ruby Hill,9
West Colfax,9
North Capitol Hill,7
Elyria Swansea,7
Union Station,7
Mar Lee,6
Athmar Park,6
CBD,6
Stapleton,6
Barnum,6
Sunnyside,6
Capitol Hill,6
Civic Center,5
Hampden South,5
Globeville,5
Sloan Lake,4
Lincoln Park,4
Speer,4
Harvey Park South,4
Whittier,4
Washington Virginia Vale,4
Kennedy,3
Harvey Park,3
Baker,3
Lowry Field,3
University Hills,3
North Park Hill,3
Skyland,3
Virginia Village,3
Sun Valley,3
College View / South Platte,2
Montclair,2
Clayton,2
Windsor,2
University,2
Goldsmith,2
Jefferson Park,2
Hilltop,2
Overland,2
Cheesman Park,2
Fort Logan,2
Wellshire,1
Platt Park,1
City Park,1
Villa Park,1
South Park Hill,1
Valverde,1
Barnum West,1
Hale,1
Bear Valley,1
Hampden,1
Belcaro,1
University Pakr,1
Regis,1
