count,date,year
88,2013-01-02,2013
142,2013-01-03,2013
112,2013-01-04,2013
130,2013-01-05,2013
115,2013-01-06,2013
155,2013-01-07,2013
147,2013-01-08,2013
158,2013-01-09,2013
143,2013-01-10,2013
154,2013-01-11,2013
160,2013-01-12,2013
122,2013-01-13,2013
178,2013-01-14,2013
155,2013-01-15,2013
148,2013-01-16,2013
199,2013-01-17,2013
162,2013-01-18,2013
135,2013-01-19,2013
103,2013-01-20,2013
154,2013-01-21,2013
186,2013-01-22,2013
172,2013-01-23,2013
156,2013-01-24,2013
182,2013-01-25,2013
142,2013-01-26,2013
147,2013-01-27,2013
174,2013-01-28,2013
178,2013-01-29,2013
148,2013-01-30,2013
139,2013-01-31,2013
180,2013-02-01,2013
153,2013-02-02,2013
120,2013-02-03,2013
153,2013-02-04,2013
127,2013-02-05,2013
146,2013-02-06,2013
151,2013-02-07,2013
163,2013-02-08,2013
137,2013-02-09,2013
104,2013-02-10,2013
153,2013-02-11,2013
114,2013-02-12,2013
143,2013-02-13,2013
163,2013-02-14,2013
157,2013-02-15,2013
110,2013-02-16,2013
121,2013-02-17,2013
141,2013-02-18,2013
121,2013-02-19,2013
147,2013-02-20,2013
149,2013-02-21,2013
163,2013-02-22,2013
119,2013-02-23,2013
113,2013-02-24,2013
138,2013-02-25,2013
137,2013-02-26,2013
138,2013-02-27,2013
161,2013-02-28,2013
141,2013-03-01,2013
92,2013-03-02,2013
130,2013-03-03,2013
166,2013-03-04,2013
147,2013-03-05,2013
166,2013-03-06,2013
130,2013-03-07,2013
134,2013-03-08,2013
111,2013-03-09,2013
88,2013-03-10,2013
138,2013-03-11,2013
137,2013-03-12,2013
146,2013-03-13,2013
109,2013-03-14,2013
135,2013-03-15,2013
123,2013-03-16,2013
110,2013-03-17,2013
151,2013-03-18,2013
156,2013-03-19,2013
140,2013-03-20,2013
173,2013-03-21,2013
155,2013-03-22,2013
114,2013-03-23,2013
102,2013-03-24,2013
161,2013-03-25,2013
128,2013-03-26,2013
130,2013-03-27,2013
126,2013-03-28,2013
151,2013-03-29,2013
129,2013-03-30,2013
127,2013-03-31,2013
148,2013-04-01,2013
138,2013-04-02,2013
165,2013-04-03,2013
158,2013-04-04,2013
161,2013-04-05,2013
135,2013-04-06,2013
137,2013-04-07,2013
165,2013-04-08,2013
158,2013-04-09,2013
153,2013-04-10,2013
150,2013-04-11,2013
138,2013-04-12,2013
138,2013-04-13,2013
122,2013-04-14,2013
168,2013-04-15,2013
124,2013-04-16,2013
161,2013-04-17,2013
144,2013-04-18,2013
133,2013-04-19,2013
119,2013-04-20,2013
99,2013-04-21,2013
163,2013-04-22,2013
173,2013-04-23,2013
153,2013-04-24,2013
162,2013-04-25,2013
167,2013-04-26,2013
141,2013-04-27,2013
122,2013-04-28,2013
181,2013-04-29,2013
161,2013-04-30,2013
181,2013-05-01,2013
165,2013-05-02,2013
180,2013-05-03,2013
154,2013-05-04,2013
174,2013-05-05,2013
193,2013-05-06,2013
156,2013-05-07,2013
163,2013-05-08,2013
200,2013-05-09,2013
193,2013-05-10,2013
156,2013-05-11,2013
140,2013-05-12,2013
194,2013-05-13,2013
179,2013-05-14,2013
182,2013-05-15,2013
211,2013-05-16,2013
180,2013-05-17,2013
136,2013-05-18,2013
150,2013-05-19,2013
199,2013-05-20,2013
195,2013-05-21,2013
178,2013-05-22,2013
241,2013-05-23,2013
186,2013-05-24,2013
171,2013-05-25,2013
152,2013-05-26,2013
170,2013-05-27,2013
253,2013-05-28,2013
205,2013-05-29,2013
200,2013-05-30,2013
209,2013-05-31,2013
202,2013-06-01,2013
170,2013-06-02,2013
228,2013-06-03,2013
219,2013-06-04,2013
185,2013-06-05,2013
215,2013-06-06,2013
207,2013-06-07,2013
215,2013-06-08,2013
201,2013-06-09,2013
229,2013-06-10,2013
228,2013-06-11,2013
223,2013-06-12,2013
218,2013-06-13,2013
233,2013-06-14,2013
194,2013-06-15,2013
194,2013-06-16,2013
254,2013-06-17,2013
258,2013-06-18,2013
256,2013-06-19,2013
224,2013-06-20,2013
224,2013-06-21,2013
187,2013-06-22,2013
193,2013-06-23,2013
248,2013-06-24,2013
218,2013-06-25,2013
218,2013-06-26,2013
265,2013-06-27,2013
214,2013-06-28,2013
201,2013-06-29,2013
189,2013-06-30,2013
206,2013-07-01,2013
224,2013-07-02,2013
185,2013-07-03,2013
184,2013-07-04,2013
243,2013-07-05,2013
167,2013-07-06,2013
191,2013-07-07,2013
246,2013-07-08,2013
223,2013-07-09,2013
211,2013-07-10,2013
219,2013-07-11,2013
231,2013-07-12,2013
182,2013-07-13,2013
184,2013-07-14,2013
219,2013-07-15,2013
227,2013-07-16,2013
228,2013-07-17,2013
234,2013-07-18,2013
288,2013-07-19,2013
219,2013-07-20,2013
252,2013-07-21,2013
260,2013-07-22,2013
232,2013-07-23,2013
266,2013-07-24,2013
256,2013-07-25,2013
204,2013-07-26,2013
231,2013-07-27,2013
185,2013-07-28,2013
259,2013-07-29,2013
263,2013-07-30,2013
228,2013-07-31,2013
241,2013-08-01,2013
246,2013-08-02,2013
191,2013-08-03,2013
160,2013-08-04,2013
216,2013-08-05,2013
217,2013-08-06,2013
212,2013-08-07,2013
193,2013-08-08,2013
207,2013-08-09,2013
186,2013-08-10,2013
191,2013-08-11,2013
219,2013-08-12,2013
231,2013-08-13,2013
242,2013-08-14,2013
274,2013-08-15,2013
194,2013-08-16,2013
193,2013-08-17,2013
214,2013-08-18,2013
252,2013-08-19,2013
205,2013-08-20,2013
233,2013-08-21,2013
281,2013-08-22,2013
221,2013-08-23,2013
198,2013-08-24,2013
197,2013-08-25,2013
261,2013-08-26,2013
252,2013-08-27,2013
285,2013-08-28,2013
233,2013-08-29,2013
240,2013-08-30,2013
214,2013-08-31,2013
191,2013-09-01,2013
163,2013-09-02,2013
273,2013-09-03,2013
258,2013-09-04,2013
271,2013-09-05,2013
263,2013-09-06,2013
180,2013-09-07,2013
181,2013-09-08,2013
219,2013-09-09,2013
184,2013-09-10,2013
247,2013-09-11,2013
199,2013-09-12,2013
229,2013-09-13,2013
214,2013-09-14,2013
208,2013-09-15,2013
236,2013-09-16,2013
249,2013-09-17,2013
247,2013-09-18,2013
203,2013-09-19,2013
236,2013-09-20,2013
231,2013-09-21,2013
201,2013-09-22,2013
203,2013-09-23,2013
230,2013-09-24,2013
231,2013-09-25,2013
260,2013-09-26,2013
250,2013-09-27,2013
195,2013-09-28,2013
194,2013-09-29,2013
229,2013-09-30,2013
232,2013-10-01,2013
257,2013-10-02,2013
223,2013-10-03,2013
210,2013-10-04,2013
204,2013-10-05,2013
181,2013-10-06,2013
233,2013-10-07,2013
199,2013-10-08,2013
210,2013-10-09,2013
244,2013-10-10,2013
214,2013-10-11,2013
194,2013-10-12,2013
171,2013-10-13,2013
200,2013-10-14,2013
217,2013-10-15,2013
221,2013-10-16,2013
202,2013-10-17,2013
259,2013-10-18,2013
191,2013-10-19,2013
146,2013-10-20,2013
228,2013-10-21,2013
217,2013-10-22,2013
263,2013-10-23,2013
267,2013-10-24,2013
212,2013-10-25,2013
212,2013-10-26,2013
177,2013-10-27,2013
216,2013-10-28,2013
190,2013-10-29,2013
