GEO_LON,GEO_LAT,NEIGHBORHOOD_ID,YEAR
-104.9889616,39.7529549,Five Points,2018
-105.0262258,39.6969425,Westwood,2018
-105.0172106,39.6828883,Ruby Hill,2018
-104.9044844,39.6507833,Hampden South,2015
-104.8807164,39.7882909,Stapleton,2018
-105.0267428,39.6682203,Harvey Park,2018
-104.835402,39.7854112,Montbello,2018
-104.936015,39.7745132,Northeast Park Hill,2018
-105.0271956,39.7159823,Barnum,2018
-104.9775391,39.7742573,Five Points,2018
-104.9916478,39.7498782,CBD,2018
-104.7720758,39.7746734,Gateway / Green Valley Ranch,2018
-105.0266339,39.7539168,Sloan Lake,2018
-105.0346021,39.7403349,West Colfax,2018
-105.0094862,39.6961024,Ruby Hill,2018
-104.9349093,39.6755566,University Hills,2018
-104.9724594,39.7609202,Whittier,2017
-104.9897577,39.7461941,CBD,2018
-105.0019503,39.726431,Lincoln Park,2018
-104.9105773,39.7021547,Washington Virginia Vale,2018
-104.9594483,39.6847261,University,2018
-105.0247788,39.710147,Athmar Park,2018
-104.9939516,39.7455588,CBD,2018
-104.9406542,39.7437527,City Park,2013
-104.9034554,39.7401439,Montclair,2018
-104.8141696,39.7777702,Montbello,2013
-104.9950515,39.7533244,Union Station,2013
-105.0253701,39.7057569,Westwood,2018
-105.0257157,39.7429733,West Colfax,2013
-104.9250626,39.6580319,University Hills,2013
-104.8112627,39.7799439,Montbello,2013
-105.0362204,39.7305984,Villa Park,2013
-104.86925,39.7061708,Windsor,2013
-105.0510503,39.6944895,Mar Lee,2013
-104.9988554,39.7401167,Lincoln Park,2013
-105.0328386,39.7184014,Barnum,2013
-104.9884906,39.7551216,Five Points,2013
-105.0054347,39.7717863,Sunnyside,2013
-104.9798867,39.7858224,Globeville,2013
-104.8470906,39.789276,Montbello,2013
-104.7976935,39.78942,Gateway / Green Valley Ranch,2014
-104.9705137,39.767522,Cole,2014
-105.0030547,39.6909746,Ruby Hill,2013
-105.0303564,39.7116354,Barnum,2014
-104.8098498,39.7803447,Montbello,2014
-104.9282876,39.7649224,Northeast Park Hill,2014
-104.8616786,39.6582017,Kennedy,2014
-105.0225896,39.7351696,Sun Valley,2014
-105.0455291,39.6707131,Harvey Park,2014
-104.9290811,39.7657581,Northeast Park Hill,2014
-104.8459966,39.7699928,Stapleton,2014
-105.0286655,39.6908412,Mar Lee,2014
-104.8782099,39.7238682,Lowry Field,2014
-104.8861528,39.7392341,East Colfax,2015
-104.9098478,39.7136676,Hilltop,2015
-104.962825,39.764429,Cole,2015
-104.9704973,39.7682769,Cole,2014
-104.8916834,39.7419779,East Colfax,2015
-104.98022900000001,39.7401457,North Capitol Hill,2015
-105.0262097,39.7872285,Regis,2015
-104.846942,39.7773471,Montbello,2015
-104.9670932,39.7626228,Cole,2015
-104.8829732,39.7772889,Stapleton,2015
-104.964009,39.7803238,Elyria Swansea,2015
-104.9678051,39.7644351,Cole,2015
-104.9871933,39.718515999999994,Speer,2015
-104.9729817,39.7662072,Cole,2015
-105.0242783,39.6922292,Ruby Hill,2015
-105.0279426,39.7116807,Barnum,2015
-105.0230157,39.6714612,College View / South Platte,2015
-104.8356052,39.7778629,Montbello,2015
-104.8469269,39.7827799,Montbello,2015
-105.0243687,39.6851686,Ruby Hill,2015
-104.9050611,39.6954777,Washington Virginia Vale,2015
-105.0459496,39.6551322,Harvey Park South,2015
-105.0359541,39.6332731,Fort Logan,2015
-105.0314255,39.75594,Sloan Lake,2015
-104.9826439,39.7343144,Capitol Hill,2016
-104.9944042,39.7646677,Globeville,2016
-104.9777095,39.7547311,Five Points,2016
-105.049551,39.6988735,Westwood,2016
-104.8306726,39.7940182,Montbello,2016
-105.0287038,39.7105389,Westwood,2016
-104.7651915,39.7855321,Gateway / Green Valley Ranch,2016
-105.0462526,39.7412616,West Colfax,2016
-105.0388612,39.7204732,Barnum,2016
-104.9732322,39.7181963,Speer,2016
-105.0014047,39.751169,Union Station,2016
-104.9232728,39.7678409,Northeast Park Hill,2016
-104.9899295,39.718182,Baker,2016
-104.9024623,39.7189782,Lowry Field,2016
-105.0334866,39.6840384,Mar Lee,2016
-104.8425768,39.7966521,Montbello,2016
-104.8683674,39.6541747,Hampden,2016
-105.0328144,39.7140281,Barnum,2016
-105.0060833,39.6958795,Ruby Hill,2016
-104.9643817,39.7576196,Whittier,2016
-104.8453511,39.7819722,Montbello,2016
-105.0417072,39.6853308,Mar Lee,2016
-104.9838029,39.7594524,Five Points,2016
-105.0265359,39.6999581,Westwood,2016
-104.9404448,39.7771286,Northeast Park Hill,2016
-104.75137099999999,39.7808632,Gateway / Green Valley Ranch,2016
-104.9574669,39.7769694,Elyria Swansea,2016
-104.9713893,39.7811423,Elyria Swansea,2016
-104.9533437,39.7773731,Elyria Swansea,2016
-104.8697303,39.7076998,Windsor,2016
-104.9807882,39.7597164,Five Points,2017
-104.9717542,39.7360175,Cheesman Park,2016
-105.0114285,39.7050163,Athmar Park,2016
-104.7986699,39.7974667,Gateway / Green Valley Ranch,2016
-105.0245971,39.6897514,Ruby Hill,2017
-104.8217353,39.7941483,Montbello,2016
-104.9864733,39.7513189,Five Points,2017
-104.8890347,39.7472132,East Colfax,2017
-104.979578,39.7387455,Capitol Hill,2016
-104.9892415,39.7325973,Civic Center,2016
-104.98232800000001,39.7400232,Capitol Hill,2017
-104.9600982,39.7688501,Cole,2017
-104.9072773,39.7259372,Montclair,2017
-104.9805078,39.7399548,Capitol Hill,2017
-105.0166847,39.6983724,Athmar Park,2017
-105.0529664,39.7351105,West Colfax,2017
-104.9449879,39.7097701,Belcaro,2017
-105.0519774,39.7402074,West Colfax,2018
-104.9559381,39.7681227,Clayton,2018
-104.8919896,39.7398766,East Colfax,2018
-105.0014796,39.770655,Sunnyside,2017
-105.0099728,39.7724806,Sunnyside,2017
-104.9935737,39.7397729,Civic Center,2017
-104.9238814,39.7634762,Northeast Park Hill,2017
-104.9798226,39.7522807,Five Points,2017
-104.9597638,39.7582272,Whittier,2017
-105.0395243,39.7066395,Westwood,2017
-105.0017862,39.7510333,Union Station,2017
-104.9848621,39.7547242,Five Points,2017
-104.9623777,39.6840587,University,2017
-104.9901941,39.693017,Overland,2017
-104.9516237,39.7752952,Elyria Swansea,2017
-104.9844619,39.7428822,North Capitol Hill,2017
-104.8393686,39.7873909,Montbello,2017
-105.0551655,39.6787882,Harvey Park,2017
-105.042949,39.7096151,Westwood,2017
-104.9246167,39.7692311,Northeast Park Hill,2013
-104.9393158,39.6892055,Virginia Village,2018
-104.9844234,39.7766568,Globeville,2013
-104.99949299999999,39.7489372,Union Station,2013
-104.9401212,39.7735445,Northeast Park Hill,2013
-105.0183057,39.6869091,Ruby Hill,2013
-105.0033608,39.7772763,Sunnyside,2013
-104.9798149,39.7408439,North Capitol Hill,2018
-104.9680541,39.7705197,Cole,2018
-104.9768149,39.7473534,Five Points,2018
-104.8848201,39.6511734,Hampden South,2013
-104.9731255,39.7617523,Whittier,2014
-104.9504368,39.6780049,University Pakr,2014
-104.9409814,39.6656749,Wellshire,2014
-105.0320746,39.7396797,West Colfax,2014
-104.9919284,39.7533658,Five Points,2013
-104.8962072,39.7344819,East Colfax,2013
-105.0384254,39.7051171,Westwood,2014
-105.0505611,39.7425904,West Colfax,2014
-104.9787009,39.7787729,Globeville,2014
-104.9366618,39.7617673,North Park Hill,2014
-104.9831528,39.7443891,North Capitol Hill,2013
-105.0030006,39.6961164,Ruby Hill,2013
-105.0246916,39.7072751,Athmar Park,2013
-104.9398146,39.7357875,Hale,2013
-104.8924519,39.7411144,East Colfax,2013
-105.0195895,39.7521725,Jefferson Park,2013
-104.9661222,39.7658825,Cole,2015
-104.9792581,39.7540572,Five Points,2015
-104.7601651,39.7762875,Gateway / Green Valley Ranch,2014
-104.8529008,39.6587138,Kennedy,2014
-105.0447156,39.703036,Westwood,2014
-104.9340412,39.7634047,Northeast Park Hill,2016
-104.9046234,39.7675998,Northeast Park Hill,2015
-104.9858144,39.7514533,Five Points,2015
-104.8897052,39.7404523,East Colfax,2015
-105.03553600000001,39.7544931,Sloan Lake,2015
-104.9935737,39.7397729,Civic Center,2015
-104.8913056,39.7404331,East Colfax,2015
-105.0110341,39.6805155,College View / South Platte,2015
-104.9269802,39.7111772,Washington Virginia Vale,2015
-104.9774516,39.7898059,Globeville,2015
-104.8573566,39.6592928,Kennedy,2015
-105.0252296,39.7512071,Sloan Lake,2015
-105.0436321,39.7177081,Barnum West,2015
-105.0384997,39.7002994,Westwood,2015
-104.9337654,39.6689458,University Hills,2015
-104.8897052,39.7404523,East Colfax,2015
-104.9358965,39.6941911,Virginia Village,2015
-104.9808218,39.7402911,North Capitol Hill,2016
-104.9756463,39.7566683,Five Points,2016
-104.9537733,39.7820585,Elyria Swansea,2016
-104.9871573,39.6864919,Platt Park,2015
-105.0238725,39.7415575,Sun Valley,2013
-104.8907448,39.7403094,East Colfax,2016
-104.9811496,39.7156893,Speer,2017
-105.0108604,39.7742797,Sunnyside,2016
-104.9753652,39.7676234,Five Points,2017
-104.8647437,39.7728517,Stapleton,2017
-105.0287668,39.6281216,Fort Logan,2017
-104.865889,39.7756333,Stapleton,2017
-104.9802078,39.7372604,Capitol Hill,2013
-105.0256864,39.6847319,Mar Lee,2017
-104.9113953,39.7118305,Hilltop,2016
-104.8591131,39.7855591,Montbello,2016
-104.9919289,39.6752568,Overland,2017
-104.9775385,39.7480841,Five Points,2016
-104.8804498,39.6441443,Hampden South,2017
-104.9361028,39.6928305,Virginia Village,2016
-104.939732,39.7563629,North Park Hill,2017
-104.9141268,39.7112072,Washington Virginia Vale,2014
-104.9343984,39.7632252,Northeast Park Hill,2015
-105.0239343,39.7764608,Sunnyside,2015
-105.02476000000001,39.7428377,Sun Valley,2014
-104.9803997,39.7401437,North Capitol Hill,2018
-104.9985307,39.7338095,Lincoln Park,2013
-105.0464252,39.7052251,Westwood,2014
-105.0529664,39.7351105,West Colfax,2017
-104.9955244,39.7533429,Union Station,2016
-104.9493955,39.7831334,Elyria Swansea,2017
-104.89674,39.6464967,Hampden South,2017
-104.9874154,39.7338549,Civic Center,2017
-104.9684684,39.7384076,Cheesman Park,2017
-104.9935915,39.7471577,CBD,2016
-104.9803997,39.7401437,North Capitol Hill,2016
-105.0009193,39.7519054,Union Station,2017
-104.9594379,39.75805,Skyland,2017
-104.98211599999999,39.7398383,Capitol Hill,2015
-104.9499121,39.7644654,Clayton,2015
-105.0326489,39.6572324,Harvey Park South,2017
-104.8370175,39.7767508,Montbello,2017
-104.9874154,39.7338549,Civic Center,2015
-105.0602927,39.652057,Bear Valley,2016
-104.8471253,39.7706524,Stapleton,2014
-104.817335,39.7808084,Montbello,2013
-104.9059991,39.7622562,Northeast Park Hill,2015
-104.9973233,39.7107769,Baker,2013
-105.0280024,39.7366053,West Colfax,2014
-104.9485044,39.7575545,Skyland,2013
-104.9862631,39.725646999999995,Speer,2014
-104.8908553,39.7398762,East Colfax,2013
-104.9976915,39.7447375,CBD,2018
-104.8901916,39.7417698,East Colfax,2014
-104.9729817,39.7662072,Cole,2015
-104.8964709,39.7468178,East Colfax,2013
-104.9554822,39.7617818,Skyland,2015
-105.0514669,39.656548,Harvey Park South,2015
-104.8417135,39.7881562,Montbello,2018
-105.0077581,39.7068815,Athmar Park,2013
-105.0036059,39.7396564,Lincoln Park,2014
-104.7545373,39.7768861,Gateway / Green Valley Ranch,2015
